GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user,com.user.web,HelloController,5,0,0,0,2,0,2,0,2,0
user,com.user.web,UserController,0,47,0,0,0,11,0,6,0,6
user,com.user.exception,GlobalExceptionHandler,120,0,2,0,33,0,7,0,6,0
user,com.user.exception,ResourceNotAvailableException,0,4,0,0,0,2,0,1,0,1
user,com.user.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
user,com.user.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
user,com.user.config,JacksonConfig,34,0,0,0,8,0,2,0,2,0
user,com.user.config,UserSecurityConfig,93,0,0,0,24,0,9,0,9,0
user,com.user.controller,UserController,3,0,0,0,1,0,1,0,1,0
user,com.user.dto,EventCreateDTO,3,0,0,0,1,0,1,0,1,0
user,com.user.dto,EventoCreateDto,0,18,0,0,0,6,0,6,0,6
user,com.user.dto,ReservaCreateDto,0,6,0,0,0,2,0,2,0,2
user,com.user.dto,ReservationCreateDTO,3,0,0,0,1,0,1,0,1,0
user,com.user.repository,ResourceRepository,3,0,0,0,1,0,1,0,1,0
user,com.user.repository,EventRepository,3,0,0,0,1,0,1,0,1,0
user,com.user.repository,UserRepository,3,0,0,0,1,0,1,0,1,0
user,com.user.repository,ClassRepository,3,0,0,0,1,0,1,0,1,0
user,com.user.repository,ReservationRepository,3,0,0,0,1,0,1,0,1,0
user,com.user.service,UserService,33,393,3,13,3,96,6,18,3,13
user,com.user,UserApplication,5,3,0,0,2,1,1,1,1,1
user,com.user.entity,Resource,3,0,0,0,1,0,1,0,1,0
user,com.user.entity,Turma,0,15,0,0,0,5,0,5,0,5
user,com.user.entity,User,3,0,0,0,1,0,1,0,1,0
user,com.user.entity,Recurso,0,16,0,0,0,6,0,5,0,5
user,com.user.entity,Class,3,0,0,0,1,0,1,0,1,0
user,com.user.entity,Reserva,0,24,0,0,0,10,0,7,0,7
user,com.user.entity,Event,3,0,0,0,1,0,1,0,1,0
user,com.user.entity,Evento,0,22,0,0,0,8,0,7,0,7
user,com.user.entity,Reservation,3,0,0,0,1,0,1,0,1,0
